2026-08-02 00:05:54  INFO      httpx  HTTP Request: POST http://127.0.0.1:11434/api/chat "HTTP/1.1 200 OK"
2026-08-02 00:05:54  DEBUG     httpcore.http11  receive_response_body.started request=<Request [b'POST']>
2026-08-02 00:05:54  DEBUG     httpcore.http11  receive_response_body.complete
2026-08-02 00:05:54  DEBUG     httpcore.http11  response_closed.started
2026-08-02 00:05:54  DEBUG     httpcore.http11  response_closed.complete
2026-08-02 00:05:54  INFO      parsers.image_parser  VLM Output Parsed — extracted_text len=0, description len=279
2026-08-02 00:05:54  WARNING   parsers.image_parser  Ollama Vision call timed out (30s) for 'C:\Users\acer\Documents\Aadhisesha\Aadhisesha_35x35.jpeg'; falling back to Tesseract.
2026-08-02 00:05:54  DEBUG     pytesseract  ['tesseract', 'C:\\Users\\acer\\AppData\\Local\\Temp\\tess_k4iz24yk_input.PNG', 'C:\\Users\\acer\\AppData\\Local\\Temp\\tess_k4iz24yk', '-l', 'eng', 'txt']
2026-08-02 00:05:55  ERROR     parsers.image_parser  Tesseract executable not found. Install Tesseract and ensure it is on your PATH.
2026-08-02 00:05:55  DEBUG     httpcore.http11  send_request_headers.started request=<Request [b'POST']>
2026-08-02 00:05:55  DEBUG     httpcore.http11  send_request_headers.complete
2026-08-02 00:05:55  DEBUG     httpcore.http11  send_request_body.started request=<Request [b'POST']>
2026-08-02 00:05:55  DEBUG     httpcore.http11  send_request_body.complete
2026-08-02 00:05:55  DEBUG     httpcore.http11  receive_response_headers.started request=<Request [b'POST']>
2026-08-02 00:06:36  DEBUG     httpcore.http11  receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/json; charset=utf-8'), (b'Date', b'Sat, 01 Aug 2026 18:36:36 GMT'), (b'Content-Length', b'575')])
2026-08-02 00:06:36  INFO      httpx  HTTP Request: POST http://127.0.0.1:11434/api/chat "HTTP/1.1 200 OK"
2026-08-02 00:06:36  DEBUG     httpcore.http11  receive_response_body.started request=<Request [b'POST']>
2026-08-02 00:06:36  DEBUG     httpcore.http11  receive_response_body.complete
2026-08-02 00:06:36  DEBUG     httpcore.http11  response_closed.started
2026-08-02 00:06:36  DEBUG     httpcore.http11  response_closed.complete
2026-08-02 00:06:36  INFO      parsers.image_parser  VLM Output Parsed — extracted_text len=0, description len=274
2026-08-02 00:06:36  WARNING   parsers.image_parser  Ollama Vision call timed out (30s) for 'C:\Users\acer\Documents\Aadhisesha\Aadhi_Passport_Photo.jpeg'; falling back to Tesseract.
2026-08-02 00:06:36  DEBUG     pytesseract  ['tesseract', 'C:\\Users\\acer\\AppData\\Local\\Temp\\tess_41kdan7j_input.PNG', 'C:\\Users\\acer\\AppData\\Local\\Temp\\tess_41kdan7j', '-l', 'eng', 'txt']
2026-08-02 00:06:37  ERROR     parsers.image_parser  Tesseract executable not found. Install Tesseract and ensure it is on your PATH.
2026-08-02 00:06:37  DEBUG     httpcore.http11  send_request_headers.started request=<Request [b'POST']>
2026-08-02 00:06:37  DEBUG     httpcore.http11  send_request_headers.complete
2026-08-02 00:06:37  DEBUG     httpcore.http11  send_request_body.started request=<Request [b'POST']>
2026-08-02 00:06:37  DEBUG     httpcore.http11  send_request_body.complete
2026-08-02 00:06:37  DEBUG     httpcore.http11  receive_response_headers.started request=<Request [b'POST']>
2026-08-02 00:06:39  INFO      __main__  === Indexer run started (workers=None) ===
2026-08-02 00:06:39  INFO      discovery  Scanning: C:\Users\acer\Documents\Aadhisesha
2026-08-02 00:06:39  INFO      __main__  Discovery complete: 14 file(s) found
2026-08-02 00:06:39  INFO      __main__  Indexer setup — System CPUs: 8 | CPU Process Workers: 7 | Ollama Thread Workers: 4
2026-08-02 00:06:45  DEBUG     chromadb.config  Starting component System
2026-08-02 00:06:45  DEBUG     chromadb.config  Starting component Posthog
2026-08-02 00:06:52  DEBUG     httpcore.connection  connect_tcp.started host='127.0.0.1' port=11434 local_address=None timeout=None socket_options=None
2026-08-02 00:06:52  DEBUG     httpcore.connection  connect_tcp.started host='127.0.0.1' port=11434 local_address=None timeout=None socket_options=None
2026-08-02 00:06:52  DEBUG     httpcore.connection  connect_tcp.started host='127.0.0.1' port=11434 local_address=None timeout=None socket_options=None
2026-08-02 00:06:52  DEBUG     httpcore.connection  connect_tcp.started host='127.0.0.1' port=11434 local_address=None timeout=None socket_options=None
2026-08-02 00:06:52  DEBUG     httpcore.connection  connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x000001E0E4E6B8C0>
2026-08-02 00:06:52  DEBUG     httpcore.http11  send_request_headers.started request=<Request [b'POST']>
2026-08-02 00:06:52  DEBUG     httpcore.http11  send_request_headers.complete
2026-08-02 00:06:52  DEBUG     httpcore.http11  send_request_body.started request=<Request [b'POST']>
2026-08-02 00:06:52  DEBUG     httpcore.http11  send_request_body.complete
2026-08-02 00:06:52  DEBUG     httpcore.http11  receive_response_headers.started request=<Request [b'POST']>
2026-08-02 00:06:52  DEBUG     httpcore.connection  connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x000001E0E4FCC910>
2026-08-02 00:06:52  DEBUG     httpcore.http11  send_request_headers.started request=<Request [b'POST']>
2026-08-02 00:06:52  DEBUG     httpcore.http11  send_request_headers.complete
2026-08-02 00:06:52  DEBUG     httpcore.http11  send_request_body.started request=<Request [b'POST']>
2026-08-02 00:06:52  DEBUG     httpcore.connection  connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x000001E0E4FCCE10>
2026-08-02 00:06:52  DEBUG     httpcore.http11  send_request_headers.started request=<Request [b'POST']>
2026-08-02 00:06:52  DEBUG     httpcore.http11  send_request_headers.complete
2026-08-02 00:06:52  DEBUG     httpcore.http11  send_request_body.started request=<Request [b'POST']>
2026-08-02 00:06:52  DEBUG     httpcore.http11  send_request_body.complete
2026-08-02 00:06:52  DEBUG     httpcore.connection  connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x000001E0E4F82060>
2026-08-02 00:06:52  DEBUG     httpcore.http11  send_request_headers.started request=<Request [b'POST']>
2026-08-02 00:06:52  DEBUG     httpcore.http11  send_request_headers.complete
2026-08-02 00:06:52  DEBUG     httpcore.http11  receive_response_headers.started request=<Request [b'POST']>
2026-08-02 00:06:52  DEBUG     httpcore.http11  send_request_body.started request=<Request [b'POST']>
2026-08-02 00:06:52  DEBUG     httpcore.http11  send_request_body.complete
2026-08-02 00:06:52  DEBUG     httpcore.http11  receive_response_headers.started request=<Request [b'POST']>
2026-08-02 00:06:52  DEBUG     httpcore.http11  send_request_body.complete
2026-08-02 00:06:52  DEBUG     httpcore.http11  receive_response_headers.started request=<Request [b'POST']>
